"icao24","firstseen_datetime","origin","lastseen_datetime","destination","callsign","duration_hours","departure_distance_km","arrival_distance_km","flight_date"
"8966b2","2026-01-15 07:46:40.000 Asia/Muscat","OMDW","2026-01-15 09:56:55.000 Asia/Muscat","","VYU121  ","2.2","0.400000","","2026-01-15 04:00:00.000 Asia/Muscat"
"8965d2","2026-01-15 07:46:42.000 Asia/Muscat","OMDB","2026-01-15 08:07:29.000 Asia/Muscat","","FDB7HD  ","0.3","1.000000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896522","2026-01-15 07:47:24.000 Asia/Muscat","OMDW","2026-01-15 08:22:07.000 Asia/Muscat","OMFJ","EFC861K ","0.6","3.900000","9.700000","2026-01-15 04:00:00.000 Asia/Muscat"
"896727","2026-01-15 07:47:56.000 Asia/Muscat","OMSJ","2026-01-15 08:30:29.000 Asia/Muscat","OTHH","ABY040  ","0.7","1.700000","6.600000","2026-01-15 04:00:00.000 Asia/Muscat"
"8960f7","2026-01-15 07:48:45.000 Asia/Muscat","OMDB","2026-01-15 15:33:46.000 Asia/Muscat","","UAE751  ","7.8","2.900000","","2026-01-15 04:00:00.000 Asia/Muscat"
"8003b1","2026-01-15 07:51:08.000 Asia/Muscat","OMSJ","2026-01-15 11:07:32.000 Asia/Muscat","","AXB614  ","3.3","1.600000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896210","2026-01-15 07:51:14.000 Asia/Muscat","OMDB","2026-01-15 11:38:07.000 Asia/Muscat","LCLK","UAE17K  ","3.8","1.900000","0.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"761487","2026-01-15 07:52:07.000 Asia/Muscat","","2026-01-15 16:36:27.000 Asia/Muscat","OMDB","ABQ416  ","8.7","","4.600000","2026-01-15 04:00:00.000 Asia/Muscat"
"89407a","2026-01-15 07:53:25.000 Asia/Muscat","OMDB","2026-01-15 08:40:21.000 Asia/Muscat","OBBI","GFA501  ","0.8","1.600000","22.800000","2026-01-15 04:00:00.000 Asia/Muscat"
"8960be","2026-01-15 07:55:03.000 Asia/Muscat","OMDB","2026-01-15 08:31:55.000 Asia/Muscat","","UAF311  ","0.6","3.100000","","2026-01-15 04:00:00.000 Asia/Muscat"
"717c70","2026-01-15 07:55:36.000 Asia/Muscat","OMDW","2026-01-15 08:53:21.000 Asia/Muscat","","KNE242  ","1.0","0.600000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896470","2026-01-15 07:56:22.000 Asia/Muscat","OMSJ","2026-01-15 14:08:57.000 Asia/Muscat","EPWA","ABY605  ","6.2","1.100000","1.400000","2026-01-15 04:00:00.000 Asia/Muscat"
