"icao24","firstseen_datetime","origin","lastseen_datetime","destination","callsign","duration_hours","departure_distance_km","arrival_distance_km","flight_date"
"89655c","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 09:15:58.000 Asia/Muscat","OMDB","UAE6    ","5.3","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"04c03b","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 04:10:44.000 Asia/Muscat","OMDB","KQA310  ","0.2","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"8965b2","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 08:39:23.000 Asia/Muscat","OMDB","FDB1784 ","4.7","","4.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"394a12","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 09:23:39.000 Asia/Muscat","OMDB","AFR658  ","5.4","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"896512","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 07:56:14.000 Asia/Muscat","OMDB","FDB4XY  ","3.9","","4.200000","2026-01-01 04:00:00.000 Asia/Muscat"
"89610f","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 09:05:27.000 Asia/Muscat","OMDB","UAE42   ","5.1","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"4078de","2026-01-01 04:00:03.000 Asia/Muscat","","2026-01-01 08:48:29.000 Asia/Muscat","OMDB","BAW109  ","4.8","","5.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"4080b6","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 08:14:42.000 Asia/Muscat","OMDB","BAW105  ","4.2","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"3c786c","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 08:18:25.000 Asia/Muscat","OMDB","CFG500  ","4.3","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"4bb470","2026-01-01 04:00:04.000 Asia/Muscat","OMSJ","2026-01-01 10:50:18.000 Asia/Muscat","VHHH","MNB300  ","6.8","4.400000","0.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"780092","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 09:17:56.000 Asia/Muscat","OMDW","CAO3063 ","5.3","","3.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"3c6711","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 07:01:43.000 Asia/Muscat","OMDB","DLH638  ","3.0","","4.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"06a155","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 04:13:45.000 Asia/Muscat","OMSJ","QTR1060 ","0.2","","2.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"896116","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 04:27:23.000 Asia/Muscat","OMDB","UAE4N   ","0.5","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"896184","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 04:16:59.000 Asia/Muscat","OMDB","UAE323  ","0.3","","5.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"0a00c3","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 08:30:29.000 Asia/Muscat","OMDB","DAH4062 ","4.5","","5.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"8960ee","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 07:52:23.000 Asia/Muscat","OMDB","UAE150  ","3.9","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"89647b","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 08:32:18.000 Asia/Muscat","OMDB","UAE20   ","4.5","","4.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"896533","2026-01-01 04:00:04.000 Asia/Muscat","","2026-01-01 04:21:14.000 Asia/Muscat","OMDB","FDB7RV  ","0.4","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"8960fb","2026-01-01 04:00:04.000 Asia/Muscat","OMDB","2026-01-01 07:50:45.000 Asia/Muscat","","UAE302  ","3.8","9.900000","","2026-01-01 04:00:00.000 Asia/Muscat"
"896483","2026-01-01 04:00:05.000 Asia/Muscat","","2026-01-01 07:59:21.000 Asia/Muscat","OMDB","UAE28Y  ","4.0","","4.200000","2026-01-01 04:00:00.000 Asia/Muscat"
"896718","2026-01-01 04:00:05.000 Asia/Muscat","","2026-01-01 08:05:55.000 Asia/Muscat","OMSJ","ABY859  ","4.1","","2.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"896366","2026-01-01 04:00:05.000 Asia/Muscat","","2026-01-01 06:49:14.000 Asia/Muscat","OMSJ","ABY228  ","2.8","","2.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"896304","2026-01-01 04:00:05.000 Asia/Muscat","","2026-01-01 06:42:50.000 Asia/Muscat","OMDB","UAE525  ","2.7","","7.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"4079cc","2026-01-01 04:00:05.000 Asia/Muscat","","2026-01-01 08:37:12.000 Asia/Muscat","OMDB","VIR400M ","4.6","","4.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963ea","2026-01-01 04:00:05.000 Asia/Muscat","","2026-01-01 08:04:58.000 Asia/Muscat","OMDB","UAE5V   ","4.1","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"89647f","2026-01-01 04:00:06.000 Asia/Muscat","","2026-01-01 07:40:40.000 Asia/Muscat","OMDB","UAE4    ","3.7","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"8960f6","2026-01-01 04:00:06.000 Asia/Muscat","","2026-01-01 07:30:27.000 Asia/Muscat","OMDB","UAE93P  ","3.5","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963b4","2026-01-01 04:00:07.000 Asia/Muscat","","2026-01-01 07:25:20.000 Asia/Muscat","OMDB","FDB756  ","3.4","","4.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"800b62","2026-01-01 04:00:08.000 Asia/Muscat","","2026-01-01 04:12:58.000 Asia/Muscat","OMDB","AXB193  ","0.2","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"89611f","2026-01-01 04:00:08.000 Asia/Muscat","","2026-01-01 04:25:48.000 Asia/Muscat","OMDB","UAE3PX  ","0.4","","4.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"896168","2026-01-01 04:00:09.000 Asia/Muscat","","2026-01-01 07:47:51.000 Asia/Muscat","OMDB","UAE2LK  ","3.8","","4.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"896664","2026-01-01 04:00:09.000 Asia/Muscat","","2026-01-01 04:42:36.000 Asia/Muscat","OMDB","FDB828  ","0.7","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"78168f","2026-01-01 04:00:10.000 Asia/Muscat","","2026-01-01 20:44:14.000 Asia/Muscat","OMDB","CSN3041 ","16.7","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"896334","2026-01-01 04:00:10.000 Asia/Muscat","","2026-01-01 04:36:28.000 Asia/Muscat","OMDB","FDB872  ","0.6","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"7609eb","2026-01-01 04:00:11.000 Asia/Muscat","","2026-01-01 04:15:49.000 Asia/Muscat","OMDB","PIA213  ","0.3","","4.200000","2026-01-01 04:00:00.000 Asia/Muscat"
"04015c","2026-01-01 04:00:14.000 Asia/Muscat","","2026-01-01 08:28:29.000 Asia/Muscat","OMSJ","ETH3559 ","4.5","","2.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963b1","2026-01-01 04:00:14.000 Asia/Muscat","","2026-01-01 04:52:39.000 Asia/Muscat","OMDB","FDB844  ","0.9","","4.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"896687","2026-01-01 04:00:15.000 Asia/Muscat","","2026-01-01 06:39:23.000 Asia/Muscat","OMDB","FDB1QS  ","2.7","","7.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"896484","2026-01-01 04:00:15.000 Asia/Muscat","","2026-01-01 04:18:58.000 Asia/Muscat","OMDB","UAE367  ","0.3","","5.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"abf0c7","2026-01-01 04:00:18.000 Asia/Muscat","","2026-01-01 04:52:57.000 Asia/Muscat","OMDW","FDX8    ","0.9","","3.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"896214","2026-01-01 04:00:19.000 Asia/Muscat","","2026-01-01 04:39:19.000 Asia/Muscat","OMDB","UAE96   ","0.7","","4.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"3c458f","2026-01-01 04:00:19.000 Asia/Muscat","","2026-01-01 09:59:57.000 Asia/Muscat","OMDB","BOX513  ","6.0","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"896513","2026-01-01 04:00:19.000 Asia/Muscat","","2026-01-01 04:49:19.000 Asia/Muscat","OMDB","FDB1808 ","0.8","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"89664b","2026-01-01 04:00:42.000 Asia/Muscat","","2026-01-01 06:21:21.000 Asia/Muscat","OMSJ","ABY581  ","2.3","","2.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"8965f7","2026-01-01 04:00:42.000 Asia/Muscat","","2026-01-01 06:14:37.000 Asia/Muscat","OMSJ","ABY621  ","2.2","","2.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"89611c","2026-01-01 04:00:48.000 Asia/Muscat","","2026-01-01 04:32:58.000 Asia/Muscat","OMDB","UAE784  ","0.5","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"8966b0","2026-01-01 04:00:51.000 Asia/Muscat","","2026-01-01 04:26:22.000 Asia/Muscat","OMSJ","ABY220  ","0.4","","0.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"896199","2026-01-01 04:01:17.000 Asia/Muscat","","2026-01-01 04:29:16.000 Asia/Muscat","OMDB","UAE385  ","0.5","","4.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"717ca1","2026-01-01 04:01:48.000 Asia/Muscat","","2026-01-01 04:34:57.000 Asia/Muscat","OMDB","SVA590  ","0.6","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"89668b","2026-01-01 04:01:51.000 Asia/Muscat","","2026-01-01 07:42:14.000 Asia/Muscat","OMSJ","ABY472  ","3.7","","2.200000","2026-01-01 04:00:00.000 Asia/Muscat"
"89656c","2026-01-01 04:02:03.000 Asia/Muscat","OMDB","2026-01-01 09:18:50.000 Asia/Muscat","LROP","FDB1NU  ","5.3","3.400000","3.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"89671c","2026-01-01 04:02:19.000 Asia/Muscat","","2026-01-01 06:54:34.000 Asia/Muscat","OMSJ","ABY777  ","2.9","","2.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"89667c","2026-01-01 04:02:41.000 Asia/Muscat","","2026-01-01 04:24:16.000 Asia/Muscat","OMDB","UAE118  ","0.4","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"896668","2026-01-01 04:03:21.000 Asia/Muscat","OMSJ","2026-01-01 04:51:59.000 Asia/Muscat","OBBI","ABY107  ","0.8","4.800000","25.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"896303","2026-01-01 04:03:29.000 Asia/Muscat","","2026-01-01 04:22:44.000 Asia/Muscat","OMDB","UAE335  ","0.3","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963f4","2026-01-01 04:03:52.000 Asia/Muscat","","2026-01-01 04:31:19.000 Asia/Muscat","OMDB","UAE7Q   ","0.5","","4.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"4d22a3","2026-01-01 04:04:29.000 Asia/Muscat","","2026-01-01 04:37:46.000 Asia/Muscat","OMDB","SEJ018  ","0.6","","4.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"4cacf1","2026-01-01 04:05:20.000 Asia/Muscat","","2026-01-01 05:07:43.000 Asia/Muscat","OMDW","GTR1944 ","1.0","","3.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"896372","2026-01-01 04:05:35.000 Asia/Muscat","OMSJ","2026-01-01 05:15:15.000 Asia/Muscat","","ABY433  ","1.2","2.300000","","2026-01-01 04:00:00.000 Asia/Muscat"
"01015d","2026-01-01 04:06:17.000 Asia/Muscat","","2026-01-01 05:04:59.000 Asia/Muscat","OMDB","MSR910  ","1.0","","5.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"896690","2026-01-01 04:06:42.000 Asia/Muscat","VAJJ","2026-01-01 06:50:59.000 Asia/Muscat","OMSJ","ABY406  ","2.7","8.600000","2.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"896309","2026-01-01 04:06:50.000 Asia/Muscat","OMDB","2026-01-01 06:29:05.000 Asia/Muscat","","UAE526  ","2.4","2.900000","","2026-01-01 04:00:00.000 Asia/Muscat"
"896587","2026-01-01 04:08:03.000 Asia/Muscat","OMSJ","2026-01-01 05:02:12.000 Asia/Muscat","OEDR","ABY160  ","0.9","1.800000","3.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"896182","2026-01-01 04:08:12.000 Asia/Muscat","OMDB","2026-01-01 11:31:23.000 Asia/Muscat","LFPG","UAE3Q   ","7.4","2.900000","5.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"896376","2026-01-01 04:08:47.000 Asia/Muscat","","2026-01-01 04:40:59.000 Asia/Muscat","OMDB","FDB62H  ","0.5","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"8964b5","2026-01-01 04:09:25.000 Asia/Muscat","","2026-01-01 06:54:58.000 Asia/Muscat","OMDB","UAE1J   ","2.8","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"896306","2026-01-01 04:09:34.000 Asia/Muscat","","2026-01-01 06:58:55.000 Asia/Muscat","OMDB","UAE543  ","2.8","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"8964b0","2026-01-01 04:09:53.000 Asia/Muscat","","2026-01-01 04:47:15.000 Asia/Muscat","OMDB","UAE9YT  ","0.6","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"800da3","2026-01-01 04:10:57.000 Asia/Muscat","OMDB","2026-01-01 04:26:55.000 Asia/Muscat","","SEJ058  ","0.3","2.900000","","2026-01-01 04:00:00.000 Asia/Muscat"
"89631b","2026-01-01 04:12:17.000 Asia/Muscat","RPLL","2026-01-01 13:06:50.000 Asia/Muscat","OMDB","UAE337  ","8.9","0.300000","4.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"896186","2026-01-01 04:12:27.000 Asia/Muscat","OMDB","2026-01-01 17:58:54.000 Asia/Muscat","CYYZ","UAE30Y  ","13.8","2.800000","3.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"8964b4","2026-01-01 04:12:53.000 Asia/Muscat","","2026-01-01 06:56:28.000 Asia/Muscat","OMDB","UAE569  ","2.7","","6.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"896502","2026-01-01 04:13:04.000 Asia/Muscat","","2026-01-01 07:53:32.000 Asia/Muscat","OMSJ","ABY449  ","3.7","","2.200000","2026-01-01 04:00:00.000 Asia/Muscat"
"89631a","2026-01-01 04:13:06.000 Asia/Muscat","","2026-01-01 05:11:55.000 Asia/Muscat","OMDB","UAE2X   ","1.0","","4.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"896175","2026-01-01 04:13:17.000 Asia/Muscat","","2026-01-01 04:43:57.000 Asia/Muscat","OMDB","UAE395  ","0.5","","5.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"89655e","2026-01-01 04:13:20.000 Asia/Muscat","KLAX","2026-01-01 19:48:05.000 Asia/Muscat","OMDB","UAE216  ","15.6","1.100000","5.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"896454","2026-01-01 04:13:34.000 Asia/Muscat","KSEA","2026-01-01 18:19:00.000 Asia/Muscat","OMDB","UAE93Q  ","14.1","1.500000","5.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"4b9da2","2026-01-01 04:13:55.000 Asia/Muscat","","2026-01-01 09:48:59.000 Asia/Muscat","OMSJ","OMS241  ","5.6","","2.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"8013c8","2026-01-01 04:15:16.000 Asia/Muscat","OMDB","2026-01-01 07:17:59.000 Asia/Muscat","","IGO40C  ","3.0","1.900000","","2026-01-01 04:00:00.000 Asia/Muscat"
"89655f","2026-01-01 04:16:04.000 Asia/Muscat","","2026-01-01 04:45:50.000 Asia/Muscat","OMDB","UAE5AM  ","0.5","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963ba","2026-01-01 04:16:29.000 Asia/Muscat","OMDB","2026-01-01 07:28:27.000 Asia/Muscat","UGTB","FDB8875 ","3.2","3.100000","0.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"896188","2026-01-01 04:18:03.000 Asia/Muscat","OMDB","2026-01-01 10:58:26.000 Asia/Muscat","","UAE322  ","6.7","2.500000","","2026-01-01 04:00:00.000 Asia/Muscat"
"04c2d8","2026-01-01 04:18:05.000 Asia/Muscat","","2026-01-01 04:49:21.000 Asia/Muscat","OMRK","FJE101  ","0.5","","3.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"8960f0","2026-01-01 04:18:10.000 Asia/Muscat","","2026-01-01 08:43:54.000 Asia/Muscat","OMDB","UAE232  ","4.4","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963d0","2026-01-01 04:19:56.000 Asia/Muscat","OMDB","2026-01-01 10:29:19.000 Asia/Muscat","WMKK","UAE15K  ","6.2","2.800000","29.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"89611a","2026-01-01 04:21:35.000 Asia/Muscat","","2026-01-01 04:50:49.000 Asia/Muscat","OMDB","UAE363  ","0.5","","4.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"89655a","2026-01-01 04:21:47.000 Asia/Muscat","KSFO","2026-01-01 19:22:42.000 Asia/Muscat","OMDB","UAE41P  ","15.0","0.700000","6.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"08006e","2026-01-01 04:21:59.000 Asia/Muscat","OMDB","2026-01-01 09:30:27.000 Asia/Muscat","HTDA","ATC405  ","5.1","2.700000","4.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"8964a0","2026-01-01 04:22:17.000 Asia/Muscat","","2026-01-01 05:17:56.000 Asia/Muscat","OMDB","UAE182  ","0.9","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"4bce0a","2026-01-01 04:23:13.000 Asia/Muscat","OMDB","2026-01-01 09:18:29.000 Asia/Muscat","LTFB","SXS899  ","4.9","2.700000","24.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"71040a","2026-01-01 04:24:05.000 Asia/Muscat","OMDB","2026-01-01 12:52:39.000 Asia/Muscat","","SVA599  ","8.5","2.000000","","2026-01-01 04:00:00.000 Asia/Muscat"
"80148f","2026-01-01 04:24:48.000 Asia/Muscat","","2026-01-01 04:40:26.000 Asia/Muscat","OMSJ","IGO1425 ","0.3","","2.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"8964a6","2026-01-01 04:25:15.000 Asia/Muscat","","2026-01-01 05:19:20.000 Asia/Muscat","OMDB","UAE29U  ","0.9","","4.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963f6","2026-01-01 04:25:28.000 Asia/Muscat","OMDB","2026-01-01 12:32:55.000 Asia/Muscat","","UAE368  ","8.1","3.300000","","2026-01-01 04:00:00.000 Asia/Muscat"
"8964d2","2026-01-01 04:25:29.000 Asia/Muscat","","2026-01-01 08:40:28.000 Asia/Muscat","OMDB","FDB3AB  ","4.2","","5.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"8964b2","2026-01-01 04:25:53.000 Asia/Muscat","","2026-01-01 04:54:02.000 Asia/Muscat","OMDB","UAE6AU  ","0.5","","5.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"89655b","2026-01-01 04:27:08.000 Asia/Muscat","","2026-01-01 04:55:24.000 Asia/Muscat","OMDB","UAE319  ","0.5","","5.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"45aa50","2026-01-01 04:27:10.000 Asia/Muscat","","2026-01-01 05:03:38.000 Asia/Muscat","OMDB","UGD444  ","0.6","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"8965d5","2026-01-01 04:27:12.000 Asia/Muscat","","2026-01-01 05:08:55.000 Asia/Muscat","OMDB","FDB9UR  ","0.7","","4.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"89630f","2026-01-01 04:27:35.000 Asia/Muscat","OMDB","2026-01-01 13:29:23.000 Asia/Muscat","FACT","UAE772  ","9.0","3.100000","0.200000","2026-01-01 04:00:00.000 Asia/Muscat"
"896177","2026-01-01 04:28:33.000 Asia/Muscat","OMDB","2026-01-01 11:38:59.000 Asia/Muscat","LEBL","UAE81W  ","7.2","2.600000","2.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"896111","2026-01-01 04:29:36.000 Asia/Muscat","OMDB","2026-01-01 06:15:56.000 Asia/Muscat","","UAE20T  ","1.8","2.900000","","2026-01-01 04:00:00.000 Asia/Muscat"
"896481","2026-01-01 04:29:43.000 Asia/Muscat","","2026-01-01 04:58:44.000 Asia/Muscat","OMDB","UAE5CL  ","0.5","","4.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"896196","2026-01-01 04:29:53.000 Asia/Muscat","","2026-01-01 04:56:59.000 Asia/Muscat","OMDB","UAE317  ","0.5","","5.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"7609ae","2026-01-01 04:30:46.000 Asia/Muscat","","2026-01-01 05:02:16.000 Asia/Muscat","OMDB","ABQ410  ","0.5","","4.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963dd","2026-01-01 04:31:22.000 Asia/Muscat","","2026-01-01 05:00:23.000 Asia/Muscat","OMDB","UAE329  ","0.5","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"8964a5","2026-01-01 04:31:27.000 Asia/Muscat","OMDB","2026-01-01 07:05:52.000 Asia/Muscat","VABB","UAE504  ","2.6","3.000000","0.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"89617b","2026-01-01 04:32:41.000 Asia/Muscat","","2026-01-01 05:15:17.000 Asia/Muscat","OMDB","UAE776  ","0.7","","4.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"750421","2026-01-01 04:33:33.000 Asia/Muscat","OMDB","2026-01-01 11:02:59.000 Asia/Muscat","","MXD714  ","6.5","3.000000","","2026-01-01 04:00:00.000 Asia/Muscat"
"8966c5","2026-01-01 04:34:26.000 Asia/Muscat","","2026-01-01 05:15:41.000 Asia/Muscat","OMAA","ETD128  ","0.7","","14.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"89660d","2026-01-01 04:34:34.000 Asia/Muscat","OMDB","2026-01-01 05:32:27.000 Asia/Muscat","","FDB831  ","1.0","2.600000","","2026-01-01 04:00:00.000 Asia/Muscat"
"8963f7","2026-01-01 04:35:26.000 Asia/Muscat","","2026-01-01 05:13:26.000 Asia/Muscat","OMDB","UAE303  ","0.6","","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"89611b","2026-01-01 04:35:47.000 Asia/Muscat","OMDB","2026-01-01 11:54:16.000 Asia/Muscat","RPLL","UAE332  ","7.3","2.900000","2.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963e8","2026-01-01 04:37:17.000 Asia/Muscat","","2026-01-01 05:22:45.000 Asia/Muscat","OMDB","UAE2AR  ","0.8","","4.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"8960f9","2026-01-01 04:37:33.000 Asia/Muscat","OMDB","2026-01-01 11:21:50.000 Asia/Muscat","RCPO","UAE366  ","6.7","3.000000","27.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"89646c","2026-01-01 04:37:49.000 Asia/Muscat","","2026-01-01 05:10:11.000 Asia/Muscat","OMDB","FDB7EN  ","0.5","","5.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963b9","2026-01-01 04:38:42.000 Asia/Muscat","","2026-01-01 07:10:51.000 Asia/Muscat","OMDB","FDB1ZA  ","2.5","","5.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"8960e0","2026-01-01 04:38:51.000 Asia/Muscat","","2026-01-01 05:16:29.000 Asia/Muscat","OMDB","UAE359  ","0.6","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"8966ad","2026-01-01 04:39:11.000 Asia/Muscat","","2026-01-01 05:25:29.000 Asia/Muscat","OMSJ","ABY284  ","0.8","","2.500000","2026-01-01 04:00:00.000 Asia/Muscat"
"896624","2026-01-01 04:39:29.000 Asia/Muscat","OMDB","2026-01-01 10:05:18.000 Asia/Muscat","","UAE364  ","5.4","2.700000","","2026-01-01 04:00:00.000 Asia/Muscat"
"717cce","2026-01-01 04:40:19.000 Asia/Muscat","","2026-01-01 05:45:59.000 Asia/Muscat","OMDB","KNE1215 ","1.1","","4.900000","2026-01-01 04:00:00.000 Asia/Muscat"
"896314","2026-01-01 04:40:26.000 Asia/Muscat","OMDB","2026-01-01 12:14:27.000 Asia/Muscat","FASI","UAE37R  ","7.6","2.800000","8.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"89660c","2026-01-01 04:40:44.000 Asia/Muscat","","2026-01-01 05:20:59.000 Asia/Muscat","OMDB","FDB570  ","0.7","","5.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"8963d6","2026-01-01 04:41:37.000 Asia/Muscat","","2026-01-01 07:26:46.000 Asia/Muscat","OMDB","UAE59T  ","2.8","","4.700000","2026-01-01 04:00:00.000 Asia/Muscat"
"70aa71","2026-01-01 04:41:42.000 Asia/Muscat","OMDB","2026-01-01 07:56:56.000 Asia/Muscat","VNKT","RNA230  ","3.3","2.500000","16.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"896727","2026-01-01 04:42:13.000 Asia/Muscat","","2026-01-01 05:07:28.000 Asia/Muscat","OMSJ","ABY932  ","0.4","","2.300000","2026-01-01 04:00:00.000 Asia/Muscat"
"801407","2026-01-01 04:42:54.000 Asia/Muscat","VIDP","2026-01-01 10:48:13.000 Asia/Muscat","OMDB","AXB2843 ","6.1","0.900000","4.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"89667b","2026-01-01 04:43:18.000 Asia/Muscat","","2026-01-01 05:26:24.000 Asia/Muscat","OMDB","UAE441  ","0.7","","4.800000","2026-01-01 04:00:00.000 Asia/Muscat"
"760a0d","2026-01-01 04:43:23.000 Asia/Muscat","","2026-01-01 14:43:10.000 Asia/Muscat","OMSJ","FJL531  ","10.0","","2.600000","2026-01-01 04:00:00.000 Asia/Muscat"
"8965c3","2026-01-01 04:43:41.000 Asia/Muscat","OMDB","2026-01-01 16:43:07.000 Asia/Muscat","WMKP","FDB1604 ","12.0","2.600000","5.100000","2026-01-01 04:00:00.000 Asia/Muscat"
"4bb865","2026-01-01 04:44:40.000 Asia/Muscat","OMDB","2026-01-01 14:34:39.000 Asia/Muscat","EPWA","PGT914W ","9.8","2.300000","1.400000","2026-01-01 04:00:00.000 Asia/Muscat"
"896317","2026-01-01 04:45:14.000 Asia/Muscat","","2026-01-01 07:12:40.000 Asia/Muscat","OMDB","UAE144  ","2.5","","5.000000","2026-01-01 04:00:00.000 Asia/Muscat"
"89639f","2026-01-01 04:45:15.000 Asia/Muscat","","2026-01-01 05:24:25.000 Asia/Muscat","OMDB","UAE381  ","0.7","","4.200000","2026-01-01 04:00:00.000 Asia/Muscat"
